,id,uri,events,agent,predicate,patients,text
0,4000,http://en.wikinews.org/wiki/Stock_markets_worldwide_fall_dramatically,US_Federal_Reserve_prepares_to_take_over_AIG#ev72,American_International_Group,have,thousands+of+divisions+engaged+in+business,The fact that AIG has thousands of divisions engaged in business across the globe sets them apart from the recent problems with other banks.
1,4000,http://en.wikinews.org/wiki/Stock_markets_worldwide_fall_dramatically,US_Federal_Reserve_prepares_to_take_over_AIG#ev43,thousands+of+divisions+engaged+in+business,set,a+global+chain+reaction,The fact that AIG has thousands of divisions engaged in business across the globe sets them apart from the recent problems with other banks.
2,4000,http://en.wikinews.org/wiki/Stock_markets_worldwide_fall_dramatically,Stock_markets_worldwide_fall_dramatically#ev55,the+markets,have,difficulties+%29,"In addition, the markets have also had difficulties during the past week after the refusal of the Federal Reserve to bail out Lehman Brothers, forcing the company to file for bankruptcy on Monday after Bank of America (BoA) and Barclays PLC pulled out of negotiations over the weekend."
3,4000,http://en.wikinews.org/wiki/Stock_markets_worldwide_fall_dramatically,Stock_markets_worldwide_fall_dramatically#ev66,Federal_Reserve_System,refusal,Lehman_Brothers,"In addition, the markets have also had difficulties during the past week after the refusal of the Federal Reserve to bail out Lehman Brothers, forcing the company to file for bankruptcy on Monday after Bank of America (BoA) and Barclays PLC pulled out of negotiations over the weekend."
4,4000,http://en.wikinews.org/wiki/Stock_markets_worldwide_fall_dramatically,US_Federal_Reserve_prepares_to_take_over_AIG#ev39,Federal_Reserve_System,bail,Lehman_Brothers,"In addition, the markets have also had difficulties during the past week after the refusal of the Federal Reserve to bail out Lehman Brothers, forcing the company to file for bankruptcy on Monday after Bank of America (BoA) and Barclays PLC pulled out of negotiations over the weekend."
5,4000,http://en.wikinews.org/wiki/Stock_markets_worldwide_fall_dramatically,US_Federal_Reserve_prepares_to_take_over_AIG#ev40,the+markets,force,the+company,"In addition, the markets have also had difficulties during the past week after the refusal of the Federal Reserve to bail out Lehman Brothers, forcing the company to file for bankruptcy on Monday after Bank of America (BoA) and Barclays PLC pulled out of negotiations over the weekend."
6,4000,http://en.wikinews.org/wiki/Stock_markets_worldwide_fall_dramatically,US_Federal_Reserve_prepares_to_take_over_AIG#ev41,the+company,file,for+bankruptcy,"In addition, the markets have also had difficulties during the past week after the refusal of the Federal Reserve to bail out Lehman Brothers, forcing the company to file for bankruptcy on Monday after Bank of America (BoA) and Barclays PLC pulled out of negotiations over the weekend."
7,4000,http://en.wikinews.org/wiki/Stock_markets_worldwide_fall_dramatically,Stock_markets_worldwide_fall_dramatically#ev17,Federal_Reserve_System,bailout,of+large+insurance+firm+aig,"This is due to the ongoing events in the financial world, including the bailout of large insurance firm AIG by the US Federal Reserve."
8,4000,http://en.wikinews.org/wiki/Stock_markets_worldwide_fall_dramatically,Shares_worldwide_surge_due_to_US_government_plan#ev46,the+dow+jones,have,a+value+of+10769.00+points,The Dow Jones currently has a value of 10769.00 points.
0,4001,http://en.wikinews.org/wiki/Stock_markets_worldwide_continue_to_fall,Stock_markets_worldwide_continue_to_fall#ev30,what+this+rescue+package+would+do.,package,with+this+rescue+package,"One of the most important things that it would do is to make sure that everybody knows that their bank deposit is safe, insured by the FDIC, and the legislation allowed for a temporary increase from $100,000 to $250,000."
