,id,uri,events,agent,predicate,patients,text
0,19000,http://en.wikinews.org/wiki/51_killed_in_Yemen_election_rally_stampede,51_killed_in_Yemen_election_rally_stampede#ev19,Ali_Abdullah_Saleh,finish,his+speech,The stampede occurred when people where trying to leave after Saleh finished his speech.
1,19000,http://en.wikinews.org/wiki/51_killed_in_Yemen_election_rally_stampede,51_killed_in_Yemen_election_rally_stampede#ev16,then+head+of+the+unified+yemen,head,Yemen,Saleh who reversed his earlier decision not to re-run for elections has been in power since 1978 as President of North Yemen and then head of the unified Yemen after North and South merged in 1990.
2,19000,http://en.wikinews.org/wiki/51_killed_in_Yemen_election_rally_stampede,51_killed_in_Yemen_election_rally_stampede#ev6,Ali_Abdullah_Saleh,hold,a+pre-election+rally,First independent elections were held in 1999 in Yemen.
3,19000,http://en.wikinews.org/wiki/51_killed_in_Yemen_election_rally_stampede,51_killed_in_Yemen_election_rally_stampede#ev6,Ali_Abdullah_Saleh,hold,a+pre-election+rally,"A stampede in a stadium in Yemen, where President Ali Abdullah Saleh was holding a pre-election rally, killed at least 51 people and more than 230 were injured."
0,19001,http://en.wikinews.org/wiki/50_dead_after_ferry_in_Myanmar_capsizes,50_dead_after_ferry_in_Myanmar_capsizes#ev18,the+boat,collide,with+an+oil+barge,"""The boat sank after colliding with an oil barge."
0,19002,http://en.wikinews.org/wiki/50_arrested_ahead_of_Swaziland_democracy_protests,50_arrested_ahead_of_Swaziland_democracy_protests#ev29,around+50+people,protest,human+rights,Around 50 people have been arrested ahead of a planned human rights protest in Swaziland.
0,19004,http://en.wikinews.org/wiki/500_policemen_seek_drug_dealers_in_Rio,500_policemen_seek_drug_dealers_in_Rio#ev12,MorrodaRocinha,dealer,against+drug+dealers,The action is a part of a police operation against drug dealers.
1,19004,http://en.wikinews.org/wiki/500_policemen_seek_drug_dealers_in_Rio,500_policemen_seek_drug_dealers_in_Rio#ev9,about+500+policemen,occupy,MorrodaRocinha,"This morning about 500 policemen occupied the Morro da Rocinha, a favela in Rio de Janeiro."
2,19004,http://en.wikinews.org/wiki/500_policemen_seek_drug_dealers_in_Rio,500_policemen_seek_drug_dealers_in_Rio#ev21,the+teenager,shoot,the+grenade,"The teenager allegedly shot the grenade against the policemen, but was himself hurt."
3,19004,http://en.wikinews.org/wiki/500_policemen_seek_drug_dealers_in_Rio,500_policemen_seek_drug_dealers_in_Rio#ev12,MorrodaRocinha,dealer,against+drug+dealers,The drug dealers from Morro da Rocinha are in a war against drug dealers from the neighboring Vidigal favela.
